nom_amenageur;siren_amenageur;contact_amenageur;nom_operateur;contact_operateur;telephone_operateur;nom_enseigne;id_station_itinerance;id_station_local;nom_station;implantation_station;adresse_station;code_insee_commune;coordonneesXY;nbre_pdc;id_pdc_itinerance;id_pdc_local;puissance_nominale;prise_type_ef;prise_type_2;prise_type_combo_ccs;prise_type_chademo;prise_type_autre;gratuit;paiement_acte;paiement_cb;paiement_autre;tarification;condition_acces;reservation;horaires;accessibilite_pmr;restriction_gabarit;station_deux_roues;raccordement;num_pdl;date_mise_en_service;observations;date_maj;cable_t2_attache;last_modified;datagouv_dataset_id;datagouv_resource_id;datagouv_organization_or_owner;created_at;consolidated_longitude;consolidated_latitude;consolidated_code_postal;consolidated_commune;consolidated_is_lon_lat_correct;consolidated_is_code_insee_verified
 Besançon;;;Freshmile Services | FR*FR1;roaming@freshmile.com;;Freshmile France;FRFR1P6356323078744053897;446588;Freshmile France/VEAFCWDTLI;Parking privé à usage public;16  Rue Joachim du Bell
 Besançon;;;Freshmile Services | FR*FR1;roaming@freshmile.com;;Freshmile France;FRFR1P6356323078744053897;446588;Freshmile France/VEAFCWDTLI;Parking privé à usage public;16  Rue Joachim du Bell
 Besançon;;;Freshmile Services | FR*FR1;roaming@freshmile.com;;Freshmile France;FRFR1P6356323078744053897;446588;Freshmile France/VEAFCWDTLI;Parking privé à usage public;16  Rue Joachim du Bell
 Besançon;;;Freshmile Services | FR*FR1;roaming@freshmile.com;;Freshmile France;FRFR1P6356323078744053897;446588;Freshmile France/VEAFCWDTLI;Parking privé à usage public;16  Rue Joachim du Bell
Valthoparc;;;Freshmile Services | FR*FR1;roaming@freshmile.com;;Freshmile France;FRFR1P5384646551808506533;694226;Freshmile France/HMDWQISHYA;Voirie;  Rue des Bruyèr
Métro Gerland public;;;Freshmile Services | FR*FR1;roaming@freshmile.com;;Freshmile France;FRFR1P369805690188650410;598104;Freshmile France/YAT1FMSBW0;Parking privé à usage public;40  Boulevard de l'Artiller
Office du tourisme de Gruissan;;;Freshmile Services | FR*FR1;roaming@freshmile.com;;Freshmile France;FRFR1P5974971104339036932;446504;Freshmile France/BC9AMA977O;Parking privé à usage public;  Place de la Capitainer
Office du tourisme de Gruissan;;;Freshmile Services | FR*FR1;roaming@freshmile.com;;Freshmile France;FRFR1P5974971104339036932;446504;Freshmile France/BC9AMA977O;Parking privé à usage public;  Place de la Capitainer
Intermarché Lessay;;;Freshmile Services | FR*FR1;roaming@freshmile.com;;Freshmile France;FRFR1P7842081390041463370;491943;Freshmile France/WG8RNRAOA1;Parking privé à usage public;1A  Rue des Tanguie
Intermarché Lessay;;;Freshmile Services | FR*FR1;roaming@freshmile.com;;Freshmile France;FRFR1P7842081390041463370;491943;Freshmile France/WG8RNRAOA1;Parking privé à usage public;1A  Rue des Tanguie
