nom_amenageur;siren_amenageur;contact_amenageur;nom_operateur;contact_operateur;telephone_operateur;nom_enseigne;id_station_itinerance;id_station_local;nom_station;implantation_station;adresse_station;code_insee_commune;coordonneesXY;nbre_pdc;id_pdc_itinerance;id_pdc_local;puissance_nominale;prise_type_ef;prise_type_2;prise_type_combo_ccs;prise_type_chademo;prise_type_autre;gratuit;paiement_acte;paiement_cb;paiement_autre;tarification;condition_acces;reservation;horaires;accessibilite_pmr;restriction_gabarit;station_deux_roues;raccordement;num_pdl;date_mise_en_service;observations;date_maj;cable_t2_attache;last_modified;datagouv_dataset_id;datagouv_resource_id;datagouv_organization_or_owner;created_at;consolidated_longitude;consolidated_latitude;consolidated_code_postal;consolidated_commune;consolidated_is_lon_lat_correct;consolidated_is_code_insee_verified
Modulo Energies;841376734;support@modulo-energies.fr;Modulo;support@modulo-energies.fr;0800 37 37 40;MARGON - Rue de la Cloche - 139073;FRS28E139073;FRS28E139073;MARGON - Rue de la Cloche - 139073;Voirie;Rue de la Cloc
Modulo Energies;841376734;support@modulo-energies.fr;Modulo;support@modulo-energies.fr;0800 37 37 40;MODULO - BEAUMONT-LES-AUTELS - Rue du Gal. de Gaulle;FRS28E139333;FRS28E139333;MODULO - BEAUMONT-LES-AUTELS - Rue du Gal. de Gaulle;Voirie;Rue du Général de Gaul
Modulo Energies;841376734;support@modulo-energies.fr;Modulo;support@modulo-energies.fr;0800 37 37 40;MODULO - VERNOUILLET - Rue du Moulin Rouge;FRS28E139334;FRS28E139334;MODULO - VERNOUILLET - Rue du Moulin Rouge;Voirie;Rue du Moulin Rou
Modulo Energies;841376734;support@modulo-energies.fr;Modulo;support@modulo-energies.fr;0800 37 37 40;MODULO - VERNOUILLET - Rue du Moulin Rouge;FRS28E139335;FRS28E139335;MODULO - VERNOUILLET - Rue du Moulin Rouge;Voirie;Rue du Moulin Rou
Modulo Energies;841376734;support@modulo-energies.fr;Modulo;support@modulo-energies.fr;0800 37 37 40;MODULO - COMBRES - Pl. de l'église;FRS28E139348;FRS28E139348;MODULO - COMBRES - Pl. de l'église;Voirie;Place de l'Egli
Modulo Energies;841376734;support@modulo-energies.fr;Modulo;support@modulo-energies.fr;0800 37 37 40;MODULO - VERNOUILLET - Rue de ROME;FRS28E139351;FRS28E139351;MODULO - VERNOUILLET - Rue de ROME;Voirie;2 Rue de RO
Modulo Energies;841376734;support@modulo-energies.fr;Modulo;support@modulo-energies.fr;0800 37 37 40;MODULO - NOGENT-LE-ROI - Pkg. du Marché aux Chevaux;FRS28E139383;FRS28E139383;MODULO - NOGENT-LE-ROI - Pkg. du Marché aux Chevaux;Voirie;Pkg du Marché aux Cheva
Modulo Energies;841376734;support@modulo-energies.fr;Modulo;support@modulo-energies.fr;0800 37 37 40;MODULO - COULOMBS - Rue des Remparts;FRS28E139389;FRS28E139389;MODULO - COULOMBS - Rue des Remparts;Voirie;2 Rue des Rempar
Modulo Energies;841376734;support@modulo-energies.fr;Modulo;support@modulo-energies.fr;0800 37 37 40;MODULO - LA CHAUSSEE-D'IVRY - Pl. de l'église;FRS28E139414;FRS28E139414;MODULO - LA CHAUSSEE-D'IVRY - Pl. de l'église;Voirie;Place de l'Egli
Modulo Energies;841376734;support@modulo-energies.fr;Modulo;support@modulo-energies.fr;0800 37 37 40;MODULO - ANET - Rue LENOTRE;FRS28E139423;FRS28E139423;MODULO - ANET - Rue LENOTRE;Voirie;1 Rue Lenot
